institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Midwestern State,Professional Services,2010,5,96,129,.74418604,TX
Midwestern State,Professional Services,2010,10,118,145,.81379312,TX
Midwestern State,Professional Services,2013,1,73,94,.77659577,TX
Midwestern State,Professional Services,2013,5,75,114,.65789473,TX
Midwestern State,Professional Services,2013,10,,,,TX
Midwestern State,Professional Services,2016,1,76,103,.73786408,TX
Midwestern State,Professional Services,2016,5,101,123,.8211382,TX
Midwestern State,Professional Services,2016,10,,,,TX
Midwestern State,Professional Services,2019,1,96,114,.84210527,TX
Midwestern State,Professional Services,2019,5,,,,TX
Midwestern State,Professional Services,2019,10,,,,TX
Midwestern State,Management,2004,1,4,4,1,TX
Midwestern State,Management,2004,5,14,23,.60869563,TX
Midwestern State,Management,2004,10,18,21,.85714287,TX
Midwestern State,Management,2007,1,5,7,.71428573,TX
Midwestern State,Management,2007,5,7,10,.69999999,TX
Midwestern State,Management,2007,10,14,16,.875,TX
Midwestern State,Management,2010,1,8,8,1,TX
Midwestern State,Management,2010,5,18,24,.75,TX
Midwestern State,Management,2010,10,18,24,.75,TX
Midwestern State,Management,2013,1,9,9,1,TX
Midwestern State,Management,2013,5,20,23,.86956519,TX
Midwestern State,Management,2013,10,,,,TX
Midwestern State,Management,2016,1,14,14,1,TX
Midwestern State,Management,2016,5,18,21,.85714287,TX
Midwestern State,Management,2016,10,,,,TX
Midwestern State,Management,2019,1,10,10,1,TX
Midwestern State,Management,2019,5,,,,TX
Midwestern State,Management,2019,10,,,,TX
Midwestern State,Admin/Waste,2004,1,46,64,.71875,TX
Midwestern State,Admin/Waste,2004,5,46,79,.58227849,TX
Midwestern State,Admin/Waste,2004,10,52,84,.61904764,TX
Midwestern State,Admin/Waste,2007,1,47,58,.81034482,TX
Midwestern State,Admin/Waste,2007,5,41,56,.73214287,TX
Midwestern State,Admin/Waste,2007,10,66,74,.8918919,TX
Midwestern State,Admin/Waste,2010,1,63,75,.83999997,TX
Midwestern State,Admin/Waste,2010,5,62,93,.66666669,TX
Midwestern State,Admin/Waste,2010,10,68,100,.68000001,TX
Midwestern State,Admin/Waste,2013,1,69,84,.8214286,TX
Midwestern State,Admin/Waste,2013,5,63,97,.64948452,TX
Midwestern State,Admin/Waste,2013,10,,,,TX
Midwestern State,Admin/Waste,2016,1,76,85,.89411765,TX
Midwestern State,Admin/Waste,2016,5,110,158,.69620252,TX
Midwestern State,Admin/Waste,2016,10,,,,TX
Midwestern State,Admin/Waste,2019,1,89,121,.73553717,TX
