institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Western Oregon,Transportation,2010,1,20,25,.80000001,OR
Western Oregon,Transportation,2010,5,24,36,.66666669,OR
Western Oregon,Transportation,2010,10,28,37,.75675678,OR
Western Oregon,Transportation,2013,1,26,39,.66666669,OR
Western Oregon,Transportation,2013,5,33,53,.6226415,OR
Western Oregon,Transportation,2013,10,,,,OR
Western Oregon,Transportation,2016,1,46,57,.80701756,OR
Western Oregon,Transportation,2016,5,39,49,.79591835,OR
Western Oregon,Transportation,2016,10,,,,OR
Western Oregon,Transportation,2019,1,49,67,.73134327,OR
Western Oregon,Transportation,2019,5,,,,OR
Western Oregon,Transportation,2019,10,,,,OR
Western Oregon,Utilities,2004,1,0,2,0,OR
Western Oregon,Utilities,2004,5,1,3,.33333334,OR
Western Oregon,Utilities,2004,10,1,1,1,OR
Western Oregon,Utilities,2007,1,1,2,.5,OR
Western Oregon,Utilities,2007,5,1,2,.5,OR
Western Oregon,Utilities,2007,10,3,4,.75,OR
Western Oregon,Utilities,2010,1,2,3,.66666669,OR
Western Oregon,Utilities,2010,5,4,4,1,OR
Western Oregon,Utilities,2010,10,0,6,0,OR
Western Oregon,Utilities,2013,1,0,0,,OR
Western Oregon,Utilities,2013,5,2,6,.33333334,OR
Western Oregon,Utilities,2013,10,,,,OR
Western Oregon,Utilities,2016,1,2,3,.66666669,OR
Western Oregon,Utilities,2016,5,8,9,.8888889,OR
Western Oregon,Utilities,2016,10,,,,OR
Western Oregon,Utilities,2019,1,4,5,.80000001,OR
Western Oregon,Utilities,2019,5,,,,OR
Western Oregon,Utilities,2019,10,,,,OR
Western Oregon,Wholesale,2004,1,37,53,.6981132,OR
Western Oregon,Wholesale,2004,5,32,44,.72727275,OR
Western Oregon,Wholesale,2004,10,38,55,.69090909,OR
Western Oregon,Wholesale,2007,1,21,28,.75,OR
Western Oregon,Wholesale,2007,5,25,37,.67567569,OR
Western Oregon,Wholesale,2007,10,36,53,.67924529,OR
Western Oregon,Wholesale,2010,1,35,51,.68627453,OR
Western Oregon,Wholesale,2010,5,37,51,.72549021,OR
Western Oregon,Wholesale,2010,10,30,45,.66666669,OR
Western Oregon,Wholesale,2013,1,29,46,.63043481,OR
Western Oregon,Wholesale,2013,5,24,35,.6857143,OR
Western Oregon,Wholesale,2013,10,,,,OR
Western Oregon,Wholesale,2016,1,33,47,.70212764,OR
Western Oregon,Wholesale,2016,5,30,46,.65217394,OR
Western Oregon,Wholesale,2016,10,,,,OR
Western Oregon,Wholesale,2019,1,39,54,.72222221,OR
Western Oregon,Wholesale,2019,5,,,,OR
Western Oregon,Wholesale,2019,10,,,,OR
