institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Colorado Mesa,Agriculture,2013,1,4,6,.66666669,CO
Colorado Mesa,Agriculture,2013,5,4,9,.44444445,CO
Colorado Mesa,Agriculture,2013,10,,,,CO
Colorado Mesa,Agriculture,2016,1,13,17,.7647059,CO
Colorado Mesa,Agriculture,2016,5,10,14,.71428573,CO
Colorado Mesa,Agriculture,2016,10,,,,CO
Colorado Mesa,Agriculture,2019,1,7,8,.875,CO
Colorado Mesa,Agriculture,2019,5,,,,CO
Colorado Mesa,Agriculture,2019,10,,,,CO
Colorado Mesa,Mining,2004,1,16,20,.80000001,CO
Colorado Mesa,Mining,2004,5,22,23,.95652175,CO
Colorado Mesa,Mining,2004,10,18,19,.94736844,CO
Colorado Mesa,Mining,2007,1,7,7,1,CO
Colorado Mesa,Mining,2007,5,30,31,.96774191,CO
Colorado Mesa,Mining,2007,10,25,27,.92592591,CO
Colorado Mesa,Mining,2010,1,34,34,1,CO
Colorado Mesa,Mining,2010,5,37,42,.88095236,CO
Colorado Mesa,Mining,2010,10,15,19,.78947371,CO
Colorado Mesa,Mining,2013,1,17,21,.80952382,CO
Colorado Mesa,Mining,2013,5,18,21,.85714287,CO
Colorado Mesa,Mining,2013,10,,,,CO
Colorado Mesa,Mining,2016,1,18,20,.89999998,CO
Colorado Mesa,Mining,2016,5,4,8,.5,CO
Colorado Mesa,Mining,2016,10,,,,CO
Colorado Mesa,Mining,2019,1,6,8,.75,CO
Colorado Mesa,Mining,2019,5,,,,CO
Colorado Mesa,Mining,2019,10,,,,CO
Colorado Mesa,Utilities,2004,1,1,1,1,CO
Colorado Mesa,Utilities,2004,5,12,14,.85714287,CO
Colorado Mesa,Utilities,2004,10,8,8,1,CO
Colorado Mesa,Utilities,2007,1,1,1,1,CO
Colorado Mesa,Utilities,2007,5,5,7,.71428573,CO
Colorado Mesa,Utilities,2007,10,7,8,.875,CO
Colorado Mesa,Utilities,2010,1,2,2,1,CO
Colorado Mesa,Utilities,2010,5,13,15,.86666667,CO
Colorado Mesa,Utilities,2010,10,7,11,.63636363,CO
Colorado Mesa,Utilities,2013,1,4,4,1,CO
Colorado Mesa,Utilities,2013,5,9,10,.89999998,CO
Colorado Mesa,Utilities,2013,10,,,,CO
Colorado Mesa,Utilities,2016,1,7,9,.77777779,CO
Colorado Mesa,Utilities,2016,5,9,10,.89999998,CO
Colorado Mesa,Utilities,2016,10,,,,CO
Colorado Mesa,Utilities,2019,1,4,6,.66666669,CO
Colorado Mesa,Utilities,2019,5,,,,CO
Colorado Mesa,Utilities,2019,10,,,,CO
Colorado Mesa,Construction,2004,1,31,52,.59615386,CO
Colorado Mesa,Construction,2004,5,21,32,.65625,CO
Colorado Mesa,Construction,2004,10,26,38,.68421054,CO
Colorado Mesa,Construction,2007,1,20,28,.71428573,CO
Colorado Mesa,Construction,2007,5,22,51,.43137255,CO
Colorado Mesa,Construction,2007,10,26,32,.8125,CO
Colorado Mesa,Construction,2010,1,17,34,.5,CO
Colorado Mesa,Construction,2010,5,36,49,.73469388,CO
Colorado Mesa,Construction,2010,10,45,63,.71428573,CO
Colorado Mesa,Construction,2013,1,37,50,.74000001,CO
Colorado Mesa,Construction,2013,5,61,86,.70930231,CO
Colorado Mesa,Construction,2013,10,,,,CO
Colorado Mesa,Construction,2016,1,78,106,.73584908,CO
Colorado Mesa,Construction,2016,5,81,109,.74311924,CO
Colorado Mesa,Construction,2016,10,,,,CO
Colorado Mesa,Construction,2019,1,86,105,.81904763,CO
Colorado Mesa,Construction,2019,5,,,,CO
Colorado Mesa,Construction,2019,10,,,,CO
Colorado Mesa,Manufacturing,2004,1,27,47,.57446808,CO
Colorado Mesa,Manufacturing,2004,5,20,57,.3508772,CO
Colorado Mesa,Manufacturing,2004,10,24,44,.54545456,CO
Colorado Mesa,Manufacturing,2007,1,16,23,.69565219,CO
Colorado Mesa,Manufacturing,2007,5,15,34,.44117647,CO
Colorado Mesa,Manufacturing,2007,10,11,38,.28947368,CO
Colorado Mesa,Manufacturing,2010,1,32,53,.60377359,CO
Colorado Mesa,Manufacturing,2010,5,43,58,.74137932,CO
Colorado Mesa,Manufacturing,2010,10,40,60,.66666669,CO
Colorado Mesa,Manufacturing,2013,1,40,48,.83333331,CO
Colorado Mesa,Manufacturing,2013,5,59,81,.72839504,CO
Colorado Mesa,Manufacturing,2013,10,,,,CO
Colorado Mesa,Manufacturing,2016,1,62,80,.77499998,CO
Colorado Mesa,Manufacturing,2016,5,64,83,.77108431,CO
Colorado Mesa,Manufacturing,2016,10,,,,CO
Colorado Mesa,Manufacturing,2019,1,52,63,.82539684,CO
Colorado Mesa,Manufacturing,2019,5,,,,CO
Colorado Mesa,Manufacturing,2019,10,,,,CO
