institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
U Montana Western,Education,2007,10,89,151,.58940399,MT
U Montana Western,Education,2010,1,101,148,.68243241,MT
U Montana Western,Education,2010,5,121,175,.69142854,MT
U Montana Western,Education,2010,10,117,162,.72222221,MT
U Montana Western,Education,2013,1,128,184,.69565219,MT
U Montana Western,Education,2013,5,133,203,.65517241,MT
U Montana Western,Education,2013,10,,,,MT
U Montana Western,Education,2016,1,137,194,.70618558,MT
U Montana Western,Education,2016,5,127,187,.67914438,MT
U Montana Western,Education,2016,10,,,,MT
U Montana Western,Education,2019,1,191,225,.84888887,MT
U Montana Western,Education,2019,5,,,,MT
U Montana Western,Education,2019,10,,,,MT
U Montana Western,Finance,2004,1,16,16,1,MT
U Montana Western,Finance,2004,5,14,18,.77777779,MT
U Montana Western,Finance,2004,10,12,17,.70588237,MT
U Montana Western,Finance,2007,1,13,31,.41935483,MT
U Montana Western,Finance,2007,5,11,11,1,MT
U Montana Western,Finance,2007,10,9,12,.75,MT
U Montana Western,Finance,2010,1,13,16,.8125,MT
U Montana Western,Finance,2010,5,8,22,.36363637,MT
U Montana Western,Finance,2010,10,11,18,.6111111,MT
U Montana Western,Finance,2013,1,7,18,.3888889,MT
U Montana Western,Finance,2013,5,8,29,.27586207,MT
U Montana Western,Finance,2013,10,,,,MT
U Montana Western,Finance,2016,1,10,13,.76923078,MT
U Montana Western,Finance,2016,5,12,27,.44444445,MT
U Montana Western,Finance,2016,10,,,,MT
U Montana Western,Finance,2019,1,9,16,.5625,MT
U Montana Western,Finance,2019,5,,,,MT
U Montana Western,Finance,2019,10,,,,MT
U Montana Western,Food/Hospitality,2004,1,11,12,.91666669,MT
U Montana Western,Food/Hospitality,2004,5,5,16,.3125,MT
U Montana Western,Food/Hospitality,2004,10,4,9,.44444445,MT
U Montana Western,Food/Hospitality,2007,1,9,24,.375,MT
U Montana Western,Food/Hospitality,2007,5,3,4,.75,MT
U Montana Western,Food/Hospitality,2007,10,4,16,.25,MT
U Montana Western,Food/Hospitality,2010,1,22,34,.64705884,MT
U Montana Western,Food/Hospitality,2010,5,9,37,.24324325,MT
U Montana Western,Food/Hospitality,2010,10,10,21,.47619048,MT
U Montana Western,Food/Hospitality,2013,1,12,24,.5,MT
U Montana Western,Food/Hospitality,2013,5,3,16,.1875,MT
U Montana Western,Food/Hospitality,2013,10,,,,MT
U Montana Western,Food/Hospitality,2016,1,16,33,.4848485,MT
U Montana Western,Food/Hospitality,2016,5,8,25,.31999999,MT
U Montana Western,Food/Hospitality,2016,10,,,,MT
U Montana Western,Food/Hospitality,2019,1,25,32,.78125,MT
U Montana Western,Food/Hospitality,2019,5,,,,MT
U Montana Western,Food/Hospitality,2019,10,,,,MT
U Montana Western,Health Care,2004,1,24,32,.75,MT
U Montana Western,Health Care,2004,5,32,48,.66666669,MT
U Montana Western,Health Care,2004,10,35,46,.76086956,MT
U Montana Western,Health Care,2007,1,31,65,.47692308,MT
U Montana Western,Health Care,2007,5,39,73,.53424656,MT
U Montana Western,Health Care,2007,10,25,55,.45454547,MT
U Montana Western,Health Care,2010,1,59,105,.56190479,MT
U Montana Western,Health Care,2010,5,49,91,.53846157,MT
