institution_cat,industry_cat,grad_cohort,horizon,emp_instate_,emp_n_,SI_by_cohort,state
Utah Valley,Admin/Waste,2019,5,,,,UT
Utah Valley,Admin/Waste,2019,10,,,,UT
Utah Valley,Agriculture,2010,1,2,6,.33333334,UT
Utah Valley,Agriculture,2010,5,0,2,0,UT
Utah Valley,Agriculture,2010,10,2,2,1,UT
Utah Valley,Agriculture,2013,1,2,11,.18181819,UT
Utah Valley,Agriculture,2013,5,3,6,.5,UT
Utah Valley,Agriculture,2013,10,,,,UT
Utah Valley,Agriculture,2016,1,3,5,.60000002,UT
Utah Valley,Agriculture,2016,5,4,6,.66666669,UT
Utah Valley,Agriculture,2016,10,,,,UT
Utah Valley,Agriculture,2019,1,3,6,.5,UT
Utah Valley,Agriculture,2019,5,,,,UT
Utah Valley,Agriculture,2019,10,,,,UT
Utah Valley,Arts/Entertainment,2010,1,41,46,.89130437,UT
Utah Valley,Arts/Entertainment,2010,5,43,49,.87755102,UT
Utah Valley,Arts/Entertainment,2010,10,35,45,.77777779,UT
Utah Valley,Arts/Entertainment,2013,1,73,76,.96052629,UT
Utah Valley,Arts/Entertainment,2013,5,48,65,.73846155,UT
Utah Valley,Arts/Entertainment,2013,10,,,,UT
Utah Valley,Arts/Entertainment,2016,1,79,89,.88764048,UT
Utah Valley,Arts/Entertainment,2016,5,68,83,.81927711,UT
Utah Valley,Arts/Entertainment,2016,10,,,,UT
Utah Valley,Arts/Entertainment,2019,1,99,114,.86842108,UT
Utah Valley,Arts/Entertainment,2019,5,,,,UT
Utah Valley,Arts/Entertainment,2019,10,,,,UT
Utah Valley,Construction,2010,1,112,138,.81159419,UT
Utah Valley,Construction,2010,5,131,189,.69312167,UT
Utah Valley,Construction,2010,10,150,208,.72115386,UT
Utah Valley,Construction,2013,1,224,269,.83271378,UT
Utah Valley,Construction,2013,5,228,296,.77027029,UT
Utah Valley,Construction,2013,10,,,,UT
Utah Valley,Construction,2016,1,256,298,.85906041,UT
Utah Valley,Construction,2016,5,241,332,.72590363,UT
Utah Valley,Construction,2016,10,,,,UT
Utah Valley,Construction,2019,1,386,448,.86160713,UT
Utah Valley,Construction,2019,5,,,,UT
Utah Valley,Construction,2019,10,,,,UT
Utah Valley,Education,2010,1,606,692,.87572253,UT
Utah Valley,Education,2010,5,559,707,.79066479,UT
Utah Valley,Education,2010,10,547,711,.76933897,UT
Utah Valley,Education,2013,1,946,1094,.86471665,UT
Utah Valley,Education,2013,5,831,1024,.81152344,UT
Utah Valley,Education,2013,10,,,,UT
Utah Valley,Education,2016,1,897,1020,.87941176,UT
Utah Valley,Education,2016,5,825,1006,.82007951,UT
Utah Valley,Education,2016,10,,,,UT
Utah Valley,Education,2019,1,1101,1244,.88504821,UT
Utah Valley,Education,2019,5,,,,UT
Utah Valley,Education,2019,10,,,,UT
Utah Valley,Finance,2010,1,189,221,.85520363,UT
Utah Valley,Finance,2010,5,209,265,.78867924,UT
Utah Valley,Finance,2010,10,216,268,.80597013,UT
Utah Valley,Finance,2013,1,298,347,.85878962,UT
Utah Valley,Finance,2013,5,277,384,.72135419,UT
Utah Valley,Finance,2013,10,,,,UT
Utah Valley,Finance,2016,1,356,431,.82598609,UT
Utah Valley,Finance,2016,5,346,430,.80465114,UT
Utah Valley,Finance,2016,10,,,,UT
Utah Valley,Finance,2019,1,510,585,.87179488,UT
Utah Valley,Finance,2019,5,,,,UT
Utah Valley,Finance,2019,10,,,,UT
Utah Valley,Food/Hospitality,2010,1,106,149,.71140939,UT
Utah Valley,Food/Hospitality,2010,5,37,90,.41111112,UT
Utah Valley,Food/Hospitality,2010,10,41,75,.54666668,UT
Utah Valley,Food/Hospitality,2013,1,101,147,.68707484,UT
Utah Valley,Food/Hospitality,2013,5,59,131,.45038167,UT
Utah Valley,Food/Hospitality,2013,10,,,,UT
Utah Valley,Food/Hospitality,2016,1,124,175,.70857143,UT
Utah Valley,Food/Hospitality,2016,5,77,112,.6875,UT
Utah Valley,Food/Hospitality,2016,10,,,,UT
Utah Valley,Food/Hospitality,2019,1,171,226,.75663716,UT
Utah Valley,Food/Hospitality,2019,5,,,,UT
Utah Valley,Food/Hospitality,2019,10,,,,UT
Utah Valley,Health Care,2010,1,428,537,.79702049,UT
Utah Valley,Health Care,2010,5,401,619,.64781904,UT
Utah Valley,Health Care,2010,10,389,619,.62843293,UT
Utah Valley,Health Care,2013,1,635,792,.80176765,UT
Utah Valley,Health Care,2013,5,567,844,.67180097,UT
Utah Valley,Health Care,2013,10,,,,UT
Utah Valley,Health Care,2016,1,771,915,.84262294,UT
Utah Valley,Health Care,2016,5,686,982,.69857436,UT
Utah Valley,Health Care,2016,10,,,,UT
Utah Valley,Health Care,2019,1,1118,1288,.86801243,UT
Utah Valley,Health Care,2019,5,,,,UT
Utah Valley,Health Care,2019,10,,,,UT
